timestamp(ms),Data age,State,Altitude,Verticalvel,RSSI,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Pitch,Yaw,Roll,Uptime,
"1721516656.126",,,,,,,,,,,"0.02","1.51","-3.14","1.85","1492239",
"1721516656.189","0.068",,,,,,,,,,,,,,,
"1721516656.29","0.169",,,,,,,,,,,,,,,
"1721516656.391","0.27",,,,,,,,,,,,,,,
"1721516656.492","0.371",,,,,,,,,,,,,,,
"1721516656.593","0.472",,,,,,,,,,,,,,,
"1721516656.695","0.573",,,,,,,,,,,,,,,
"1721516656.795","0.674",,,,,,,,,,,,,,,
"1721516656.896","0.775",,,,,,,,,,,,,,,
"1721516656.997","0.876",,,,,,,,,,,,,,,
"1721516657.098","0.977",,,,,,,,,,,,,,,
"1721516657.12",,"0",,,,,,,,,,,,,,
"1721516657.121",,,"1.2","1.27",,,,,,,,,,,,
"1721516657.122",,,,,"-80","0.49","-0.19","9.85",,,,,,,,
"1721516657.123",,,,,,,,,"0","0","0","1.51","3.13",,,
"1721516657.124",,,,,,,,,,,,,,"1.86","1493242",
"1721516657.199","0.075",,,,,,,,,,,,,,,
"1721516657.3","0.176",,,,,,,,,,,,,,,
"1721516657.401","0.277",,,,,,,,,,,,,,,
"1721516657.502","0.378",,,,,,,,,,,,,,,
"1721516657.603","0.479",,,,,,,,,,,,,,,
"1721516657.704","0.58",,,,,,,,,,,,,,,
"1721516657.805","0.681",,,,,,,,,,,,,,,
"1721516657.906","0.782",,,,,,,,,,,,,,,
"1721516658.007","0.883",,,,,,,,,,,,,,,
"1721516658.108","0.984",,,,,,,,,,,,,,,
"1721516658.123",,"0","1.2","1.27",,,,,,,,,,,,
"1721516658.124",,,,,"-80","0.49","-0.16",,,,,,,,,
"1721516658.125",,,,,,,,"9.86","0","0.01","0",,,,,
"1721516658.126",,,,,,,,,,,,"1.51","3.13","1.86",,
"1721516658.127",,,,,,,,,,,,,,,"1494245",
"1721516658.209","0.083",,,,,,,,,,,,,,,
"1721516658.31","0.184",,,,,,,,,,,,,,,
"1721516658.411","0.285",,,,,,,,,,,,,,,
"1721516658.512","0.386",,,,,,,,,,,,,,,
"1721516658.613","0.487",,,,,,,,,,,,,,,
"1721516658.714","0.588",,,,,,,,,,,,,,,
"1721516658.815","0.689",,,,,,,,,,,,,,,
"1721516658.916","0.79",,,,,,,,,,,,,,,
"1721516659.017","0.891",,,,,,,,,,,,,,,
"1721516659.118","0.992",,,,,,,,,,,,,,,
"1721516659.126",,"0","1",,,,,,,,,,,,,
"1721516659.127",,,,"1.26","-81",,,,,,,,,,,
"1721516659.128",,,,,,"0.46","-0.15","9.87",,,,,,,,
"1721516659.129",,,,,,,,,"0.02","0.01","0.03",,,,,
"1721516659.13",,,,,,,,,,,,"1.51","3.14","1.86","1495248",
"1721516659.219","0.089",,,,,,,,,,,,,,,
"1721516659.321","0.19",,,,,,,,,,,,,,,
"1721516659.421","0.291",,,,,,,,,,,,,,,
"1721516659.522","0.392",,,,,,,,,,,,,,,
"1721516659.623","0.493",,,,,,,,,,,,,,,
"1721516659.724","0.594",,,,,,,,,,,,,,,
"1721516659.825","0.695",,,,,,,,,,,,,,,
"1721516659.926","0.796",,,,,,,,,,,,,,,
"1721516660.026","0.897",,,,,,,,,,,,,,,
"1721516660.128","0.998",,,,,,,,,,,,,,,
"1721516660.129",,"0","1.2",,,,,,,,,,,,,
"1721516660.13",,,,"1.27","-80",,,,,,,,,,,
"1721516660.131",,,,,,"0.51","-0.14","9.88","0","-0.01",,,,,,
"1721516660.132",,,,,,,,,,,"-0.02","1.51","3.13",,,
"1721516660.133",,,,,,,,,,,,,,"1.86","1496251",
"1721516660.228","0.096",,,,,,,,,,,,,,,
"1721516660.33","0.197",,,,,,,,,,,,,,,
"1721516660.43","0.298",,,,,,,,,,,,,,,
"1721516660.531","0.399",,,,,,,,,,,,,,,
"1721516660.633","0.5",,,,,,,,,,,,,,,
"1721516660.733","0.601",,,,,,,,,,,,,,,
"1721516660.835","0.702",,,,,,,,,,,,,,,
"1721516660.935","0.803",,,,,,,,,,,,,,,
"1721516661.036","0.904",,,,,,,,,,,,,,,
"1721516661.132",,"0","1.2","1.28","-80",,,,,,,,,,,
"1721516661.133",,,,,,"0.5","-0.15","9.87",,,,,,,,
"1721516661.134",,,,,,,,,"0","0","0.02","1.51",,,,
"1721516661.135",,,,,,,,,,,,,"-3.14","1.87","1497255",
"1721516661.137","0.002",,,,,,,,,,,,,,,
"1721516661.239","0.103",,,,,,,,,,,,,,,
"1721516661.339","0.204",,,,,,,,,,,,,,,
"1721516661.441","0.305",,,,,,,,,,,,,,,
"1721516661.541","0.406",,,,,,,,,,,,,,,
"1721516661.642","0.507",,,,,,,,,,,,,,,
"1721516661.743","0.608",,,,,,,,,,,,,,,
"1721516661.845","0.709",,,,,,,,,,,,,,,
"1721516661.945","0.81",,,,,,,,,,,,,,,
"1721516662.047","0.911",,,,,,,,,,,,,,,
"1721516662.134",,"0",,,,,,,,,,,,,,
"1721516662.135",,,"1.2",,,,,,,,,,,,,
"1721516662.136",,,,"1.28","-81","0.47",,,,,,,,,,
"1721516662.137",,,,,,,"-0.18","9.88",,,,,,,,
"1721516662.138",,,,,,,,,"0.01","-0.01","0.02","1.51","3.13",,,
"1721516662.139",,,,,,,,,,,,,,"1.88","1498257",
"1721516662.147","0.009",,,,,,,,,,,,,,,
"1721516662.249","0.11",,,,,,,,,,,,,,,
"1721516662.349","0.211",,,,,,,,,,,,,,,
"1721516662.45","0.312",,,,,,,,,,,,,,,
"1721516662.552","0.413",,,,,,,,,,,,,,,
"1721516662.652","0.514",,,,,,,,,,,,,,,
"1721516662.754","0.615",,,,,,,,,,,,,,,
"1721516662.854","0.716",,,,,,,,,,,,,,,
"1721516662.956","0.817",,,,,,,,,,,,,,,
"1721516663.056","0.918",,,,,,,,,,,,,,,
