timestamp(ms),navlooprate,MP uptime,NAV uptime,MISSIONTIME,accel x,accel y,accel z,mag x,mag y,mag z,accelabs,highaccel x,highaccel y,highaccel z,highaccelabs,accelworld x,accelworld y,accelworld z,gyro x,gyro y,gyro z,altitude,verticalvel,filtered vvel,filtered accel,orientation pitch,orientation yaw,orientation roll,maxrecorded alt,filtered alt,state ,altitudeagl ,battery vol ,baro temp ,pyro cont ,pyros fired ,pyro state,covarience x,covarience y,covarience z,
"1779660680.24",,,,,,,,,,,,,,,,"0.002068","-0.00053","0.142836","2.04759","-1.991366","-1.290256","1970.406738",,,,,,,,,,,,,,,,,,,
"1779660680.241",,,,,,,,,,,,,,,,,,,,,,,"-0.256027","1.378588","0.132957","10.12188","-4.070085","-38.655893",,,,,,,,,,,,,
"1779660680.242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.83487","0.607838","0",,,,,,,,,,
"1779660680.244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.317993","8.5","24.261995",,,,,,,
"1779660680.245",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0.000957",,,
"1779660680.247",,"17040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000205","0.000335",
"1779660680.248",,,"17040","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.251",,,,,"-6.205749","7.552577","-1.770089","8.184741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.254",,,,,,,,,"-46.126862","75.562706","9.93408","3.844207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.255",,,,,,,,,,,,,"-7.688414",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.256",,,,,,,,,,,,,,"-11.53262","14.383705",,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.257",,,,,,,,,,,,,,,,"-0.007761","0.030698","0.13303",,,,,,,,,,,,,,,,,,,,,,,
"1779660680.258",,,,,,,,,,,,,,,,,,,"-0.922331","1.508521","-1.851233","1970.466675",,,,,,,,,,,,,,,,,,,
"1779660680.259",,,,,,,,,,,,,,,,,,,,,,,"0.536287","1.37743","0.130799",,,,,,,,,,,,,,,,
"1779660680.26",,,,,,,,,,,,,,,,,,,,,,,,,,"10.115724","-4.021147","-38.634046",,,,,,,,,,,,,
"1779660680.261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.83487","0.614709","0",,,,,,,,,,
"1779660680.263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.37793","8.5","24.257511",,,,,,,
"1779660680.264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0.000957",,,
"1779660680.265",,"17019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000205","0.000335",
"1779660680.266",,,"17019","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.267",,,,,"-6.211885","7.550427","-1.747167","8.360128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.268",,,,,,,,,"-45.834549","75.109619","9.932223","4.805259",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.269",,,,,,,,,,,,,"-7.207888","-11.53262","14.423782","-0.019976","0.009298","0.131199",,,,,,,,,,,,,,,,,,,,,,,
"1779660680.27",,,,,,,,,,,,,,,,,,,"-2.390822","2.066074","0.437497","1970.517334","1.188919",,,,,,,,,,,,,,,,,,
