rkf,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,yaw,pitch,roll,imutemp,pressure,altitude,bmptemp,verticalvelocity,apoogee,state,uptime(milliseconds),errorflag
0,    2.4183,    0.2976,    9.5608,   -0.8050,   -0.6758,    0.2762,  -10.3338,   55.0868,   95.7951,   40.2500,87777.4297,    0.3955,   42.8851,   -0.5299,    1.0397,1,368606,1
0,    2.4293,    0.3244,    9.5727,    0.6470,    0.0007,    0.1558,  -10.3690,   54.8707,   95.8548,   40.2500,87774.9688,    0.6253,   42.8804,   -0.0436,    1.0397,1,368719,1
0,    2.4346,    0.3111,    9.5775,    2.8283,    1.4601,   -0.0626,  -10.2941,   54.9655,   95.8102,   40.2500,87773.4531,    0.7668,   42.8851,    0.0188,    1.0397,1,368831,1
0,    2.4114,    0.3102,    9.5892,    1.7160,    0.2552,   -1.3330,  -10.0487,   55.1105,   95.6949,   40.2500,87775.5234,    0.5732,   42.8851,    0.2724,    1.0397,1,368945,1
0,    2.4159,    0.2971,    9.6006,   -0.7095,    0.4470,   -0.3215,  -10.1738,   55.0227,   95.7071,   40.2500,87773.7578,    0.7385,   42.8804,    0.2938,    1.0397,1,369058,1
0,    2.4146,    0.3032,    9.5659,    1.9980,    0.5100,    0.3990,  -10.1782,   55.0022,   95.6674,   40.2500,87775.5703,    0.5692,   42.8851,   -0.2858,    1.0397,1,369171,1
0,    2.3884,    0.2944,    9.5749,    0.7800,   -0.3926,    0.5831,  -10.1772,   54.9620,   95.7085,   40.2500,87775.9141,    0.5370,   42.8898,   -0.0601,    1.0397,1,369285,1
0,    2.4407,    0.3324,    9.5748,   -2.9199,    0.0206,    0.8035,  -10.1801,   54.9725,   95.7918,   40.2500,87773.7578,    0.7385,   42.8944,    0.0610,    1.0397,1,369398,1
0,    2.4031,    0.2844,    9.5774,    0.6661,   -0.5428,   -0.8373,  -10.0364,   54.8759,   95.7300,   40.2500,87774.4531,    0.6734,   42.8898,    0.2477,    1.0397,1,369510,1
0,    2.4017,    0.3145,    9.5735,   -0.7726,    1.3192,    1.0261,  -10.0549,   54.9279,   95.7947,   40.2500,87773.7578,    0.7385,   42.8944,    0.6148,    1.0397,1,369625,1
