checksum, eulerx, eulery, euler z, accelx, accely, accel z, gyro x, gyro y, gyro z, altitude, vvel, lyra uptime, errorflag MP, errorflag NAV, state, uptime reciver, dataage,checksum2
AB,92.819163,177.616911,116.883388,-0.180000,-0.220000,31.400000,-0.020000,1.150000,-0.250000,0.500000,11.850000,596942,1,1,0,92381,3,CD
AB,84.797755,179.335796,102.559443,-0.500000,0.130000,26.930000,-0.360000,-0.550000,-1.350000,1.960000,31.049999,597479,1,1,0,92918,4,CD
AB,89.381413,-170.741424,-101.413529,0.140000,-0.220000,-0.720000,-0.440000,-0.310000,0.360000,6.940000,38.139999,597559,1,1,2,94475,4,CD
AB,91.100291,-166.157766,-100.840571,-0.060000,0.170000,-0.680000,-0.210000,-0.100000,-0.070000,7.310000,38.299999,599214,1,1,3,94812,3,CD
AB,90.527334,-167.303681,-103.132400,0.140000,-0.060000,-0.490000,0.110000,0.090000,-0.200000,7.640000,31.910000,599387,1,1,3,95150,3,CD
AB,90.527334,-160.428180,-107.716065,0.060000,-0.070000,-0.150000,-0.070000,0.040000,0.480000,9.100000,40.799999,599796,1,1,3,95578,3,CD
AB,91.673249,-158.136351,-96.829871,0.070000,-0.080000,-0.090000,-0.160000,-0.170000,0.640000,9.400000,31.879999,600336,18,30,193,96562,4,CD
AB,123.185931,-158.136351,-44.690706,0.070000,-0.080000,0.010000,-0.200000,-0.750000,0.580000,10.220000,16.240000,601355,1,1,3,96929,3,CD
AB,132.926205,-166.157766,-34.950426,0.120000,-0.050000,-0.050000,-0.140000,-0.920000,0.520000,10.280000,11.980000,601588,1,1,3,97266,3,CD
AB,146.104235,162.147052,-21.772396,0.250000,0.020000,-0.290000,0.290000,-1.380000,0.330000,10.270000,-1.100000,601843,1,1,3,97604,3,CD
AB,147.823107,147.823107,-18.907608,0.210000,0.020000,-0.350000,0.370000,-1.440000,0.370000,10.230000,-3.790000,602321,1,1,3,97942,4,CD
AB,146.104235,127.196632,-11.459156,0.000000,-0.040000,-0.400000,0.500000,-1.420000,0.480000,10.110000,-4.700000,602482,1,1,3,98280,4,CD
AB,146.677192,111.726773,0.572958,-0.090000,0.020000,-0.200000,-0.360000,0.420000,0.540000,9.440000,-16.730000,504509160,16,0,189,99539,3,CD
AB,16.615776,-36.096341,28.074933,-11.070000,24.180000,7.450000,16.910000,19.010000,22.730000,7.710000,-27.540001,604274,1,1,5,99990,4,CD
AB,40.680002,-65.317188,49.274371,-3.290000,1.580000,-9.000000,-0.290000,9.970000,-22.240000,7.620000,-21.540001,604768,1,1,5,100327,3,CD
AB,37.242255,-169.595510,152.979736,1.170000,5.600000,-8.350000,3.150000,-11.140000,4.590000,7.070000,-16.660000,604996,1,1,5,100732,3,CD
